Name,FullName,URL,Stars,Commits
shardingsphere,apache/shardingsphere,https://github.com/apache/shardingsphere,19239,629479
mybatis-3,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,19238,144764
HikariCP,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,19186,4786
openapi-generator,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,19081,847474
keycloak,keycloak/keycloak,https://github.com/keycloak/keycloak,19057,483971
litemall,linlinjava/litemall,https://github.com/linlinjava/litemall,18668,24595
PhotoView,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18660,16896
cat,dianping/cat,https://github.com/dianping/cat,18319,114113
Apktool,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,18310,286675
SpringBoot-Labs,yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,18112,1813
jdk,openjdk/jdk,https://github.com/openjdk/jdk,17851,1198218
Stirling-PDF,Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,17786,49529
SpringCloudLearning,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,17652,582
fresco,facebook/fresco,https://github.com/facebook/fresco,17025,76019
tinker,Tencent/tinker,https://github.com/Tencent/tinker,16995,7018
disruptor,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,16841,9854
Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16809,27128
zheng,shuzheng/zheng,https://github.com/shuzheng/zheng,16617,41267
zipkin,openzipkin/zipkin,https://github.com/openzipkin/zipkin,16599,73632
java8-tutorial,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,16571,149
APIJSON,Tencent/APIJSON,https://github.com/Tencent/APIJSON,16348,72949
Algorithms,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,16230,1274482
antlr4,antlr/antlr4,https://github.com/antlr/antlr4,16050,69691
